Spanish,English
bueno,Well
haber,to have
vervenir,see
tres,three
menos,less
deber,duty
tener,have
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
ser,be
mamá,mother
tener,have
luego,then
todo,all
allí,over there
todo,all
hora,hour
mujer,women
ver,see
hacer,do
importar,matter
contigo,with you
verir,see
tardetardar,Afternoon
oír,hear
partirparte,leave
haber,to have
hombre,man
problema,problem
mas,further
saber,know
querer,want
aún,still
vez,time
nuestro,our
hacer,do
cada,each
hacer,do
ver,see
tanto,so much
razón,reason
usted,you
idea,idea
eso,that
ir,go
quizá,Maybe
deber,duty
alguno,some
cierto,TRUE
usted,you
muertomorir,dead
un,a
este,this
salir,go out
policía,police
realmente,really
demasiado,too much
familia,family
poder,can
cabeza,head
haber,to have
amigo,friend
chicochica,Chicochica
cariño,dear
lado,side
allá,there
entre,between
minuto,minute
decir,say
algún,some
serio,Serious
cuidarcuidado,cared about
pasar,pass
bueno,Well
ser,be
amor,love
puerta,door
ver,see
ir,go
ah,Ah
suerte,luck
eh,Hey
rápido,fast
contarcuenta,counting
quizás,maybe
ese,that
pues,well
pasarpasado,pass
pensar,think
todavía,still
hermano,brother
deber,duty
casi,almost
forma,shape
aquí,here
chico,boy
ok,okay
decirdicho,to say said
nuevonueva,new new
saber,know
mucho,a lot
dentro,inside
hacer,do
contra,against
auto,car
caminocaminar,Caminocaminar
ayudaayudar,Help help
primeroprimera,first first
hacia,toward
ver,see
miedo,fear
adiós,bye
primero,first
deber,duty
poder,can
niño,child
ser,be
historia,history
hey,Hey
mientras,while
ciudad,city
decir,say
esperar,wait
cuánto,how much
esposaesposar,wife are
pronto,soon
chico,boy
cualquier,any
viejo,old
deber,duty
dejar,leave
año,year
muerte,death
hablar,talk
mano,hand
dar,give
loco,crazy
problema,problem
mano,hand
guerra,war
semana,week
pasar,pass
valervale,Valervale
cuál,which
venir,come
volver,return
tomar,take
casocasar,Casocasar
agua,water
hacer,do
ir,go
entender,understand
hora,hour
persona,person
capitán,captain
adelante,forward
niño,child
listo,ready
noche,evening
bueno,Well
ir,go
junto,together
dar,give
único,only
dejar,leave
cercacercar,Cercecercar
otro,other
seguir,continue
grande,big
arriba,above
jefe,boss
hablarhabla,Talk about
suponer,suppose
manera,manner
querer,want
feliz,happy
significar,mean
sangre,blood
fin,end
bajarbajo,Download
llamarllama,Calllama
venir,come
morir,die
importante,important
hacer,do
ojo,eye
escuchar,hear
entrar,get in
ninguno,none
corazón,heart
diablo,Devil
necesitar,need
atrás,back
durante,during
decir,say
nuestro,our
persona,person
abajo,below
doctor,doctor
hija,daughter
dejar,leave
necesitar,need
llegar,arrive
hacer,do
señora,lady
haberhaya,Haberhaya
suficiente,enough
doctor,doctor
gustar,like
tierra,land
cara,expensive
siquiera,even
genial,brilliant
creer,believe
suponer,suppose
tomar,take
equipoequipar,team
justo,fair
juegojugar,game play
ninguno,none
matar,kill
cinco,five
decir,say
amoamar,I love to love
cuándo,when
pequeño,little
alguno,some
conocer,know
clase,class
maldito,damned
un,a
mucho,a lot
haber,to have
segundo,second
aunque,although
poder,can
decir,say
igual,equal
comidacomer,food eat
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vueltavolver,Return rise
venir,come
creer,believe
realidad,reality
saber,know
puta,bitch
deber,duty
preguntapreguntar,Question ask
irser,Irser
cuatro,four
señora,lady
primero,first
trabajar,work
y,and
hacer,do
alto,high
maldito,damned
comer,eat
número,number
dar,give
necesitar,need
oportunidad,chance
punto,spot
mismo,same
último,last
afuera,outside
mujer,women
pensar,think
irser,Irser
difícil,difficult
vivir,live
pasopasar,Pasopapasar
malo,bad
estar,be
vivirvivo,Living
hacer,do
quedar,meet
hijo,son
mayor,elderly
fiesta,party
hacer,do
medio,half
alguno,some
bastar,be enough
armaarmar,Armaarmar
venirvino,coming wine
mes,month
cuarto,room
este,this
escuela,school
estar,be
dólar,dollar
tío,uncle
posible,possible
tener,have
fácil,easy
preocupar,worry
luz,light
ser,be
carajo,fuck
final,final
listalisto,Listalist
tratar,treat
armaarmar,Armaarmar
hermana,sister
exactamente,exactly
chica,girl
poder,can
bastante,quite
seguridad,security
pasar,pass
esperar,wait
acá,here
teléfono,phone
perro,dog
fuego,fire
morir,die
tampoco,neither
solo,only
estar,be
ver,see
ir,go
tener,have
culpaculpar,guilty
veras,you will see
adónde,where to
buscar,look for
cuanto,how much
padre,father
paz,peace
demonio,devil
estar,be
cual,which
perdón,sorry
así,So
jugar,play
pensar,think
esperar,wait
saber,know
recuerdorecordar,RESOUND DIRECT
par,pair
joven,young
seguir,continue
pueblo,town
tener,have
caballero,gentleman
idiota,moron
dar,give
minuto,minute
bebé,baby
único,only
lejos,far
nuestro,our
plan,plan
pensar,think
sentidosentir,Senteides
dormir,sleep
decir,say
palabra,word
correcto,correct
control,control
ver,see
entender,understand
país,country
seis,six
último,last
ésta,this
decir,say
poder,can
pequeña,small
callar,to silence
tratotratar,treatment
rey,king
suceder,happen
muchacho,young guy
jamás,never
cama,bed
señorita,Miss
ayudar,help
acercaacercar,approach
dar,give
cambiocambiar,change
faltafaltar,Missing
hospital,hospital
llevar,carry
presidente,president
mil,thousand
gustogustar,taste
conocer,know
decir,say
os,you
ir,go
general,general
extrañoextrañar,I miss out
semana,week
coche,car
peorbien,Peorbien
mucho,a lot
disculpar,excuse
decir,say
anoche,last night
perder,lose
ir,go
nave,ship
cielo,darling
haber,to have
orden,order
seguro,sure
queridaqueridoquerer,Dearqueridoquerer
niña,little girl
increíble,incredible
además,besides
deber,duty
libro,book
callecallar,Callecallas
café,coffee
pensar,think
hacer,do
especial,special
querer,want
ir,go
perfecto,perfect
buscar,look for
odioodiar,hate
pensar,think
oficina,office
hablarhabla,Talk about
libre,free
agente,agent
Nueva Yorkjamón york,New Yorkamon York
llamar,call
malomala,bad bad
detrás,behind
ver,see
decir,say
grande,big
recordar,remember
real,real
estar,be
mío,mine
frente,forehead
perder,lose
llamar,call
muerto,dead
millón,million
asesinoasesinar,Killer
sueñosoñar,Soreñoñieño
querer,want
haber,to have
hacer,do
viajeviajar,Viaviajar
probablemente,probably
resto,rest
estar,be
maldición,curse
lamentolamentar,regret
muchacho,young guy
avión,plane
ropa,clothes
fuerzaforzar,strength strengthen
llamadollamar,call
oídooír,Hearing
dadodar,Give
encima,on
negro,black
usar,wear
información,information
ustedes,you
preguntarpregunta,Ask
tener,have
secreto,secret
volver,return
mirar,look
querer,want
hacer,do
acabar,finish
otro,other
incluso,even
sentirsentar,Feel
deber,duty
hacerhaz,do
decir,say
boca,mouth
dolor,pain
bañobañar,Bañobañar
adentro,inside
profesor,teacher
habitación,room
dañodañar,harm
tuyo,yours
ser,be
noticia,news
demás,the rest
queridoquerer,dearquerer
durodurar,DURODURE
poner,put
pruebaprobar,Test
mirar,look
tonto,silly
campocampar,Campocampo
ser,be
diez,ten
ese,that
tranquilo,don't worry
asunto,affair
acabar,finish
quedar,meet
derecho,right
placer,pleasure
recordar,remember
estar,be
tratar,treat
ejército,army
futuro,future
llevar,carry
compañía,company
venir,come
listo,ready
hacer,do
sitio,place
ver,see
puestoponer,Put
atención,attention
sino,but
cambiar,change
error,mistake
blanco,white
raro,queer
palabra,word
llegar,arrive
salsalir,Salsalir
pasar,pass
mente,mind
sistema,system
película,movie
andar,walk
ello,it
negocionegociar,Negotiation
novia,bride
permiso,permission
creer,believe
sonar,dream
ocurrir,occur
oficial,official
esperar,wait
aire,air
matar,kill
regresar,go back
ver,see
hacer,do
trasero,rear
grupo,cluster
entender,understand
señorita,Miss
música,music
perra,bitch
conocer,know
empezar,begin
sentirsentar,Feel
acabar,finish
estúpido,idiot
diferente,different
traertraje,Bring
modo,mode
encontrar,find
mensaje,message
llamadallamar,call
navidad,Christmas
ser,be
penapenar,Penapenar
largolargar,Largolargar
entrar,get in
pisopisar,apartment
foto,photo
decir,say
médico,doctor
accidente,accident
irser,Irser
imposible,impossible
poder,can
línea,line
propio,own
barco,ship
ganar,gain
normal,normal
segundo,second
vivir,live
mitad,half
querer,want
tras,after
decir,say
lindo,nice
funcionar,function
programa,program
venir,come
abrir,open
ser,be
pagar,pay
foto,photo
centrocentrar,Centerocentrr
suponer,suppose
basura,trash
situación,situation
mejor,better
venir,come
encantar,love
marido,husband
personal,staff
maestro,teacher
hambre,hunger
ataqueatacar,attack
culo,ass
dar,give
pie,foot
conseguir,get
trabajar,work
gracioso,funny
dejar,leave
poder,can
derecha,right
izquierda,left
próximo,next
pobre,poor
respuesta,answer
tipo,guy
sentir,feel
tener,have
poder,can
dar,give
voz,voice
amiga,friend
gustar,like
vistaver,Vistaver
salvosalvar,Salvosalvar
loco,crazy
hotel,hotel
hacer,do
tener,have
temer,fear
señal,sign
pelopelar,Pelpelar
llevar,carry
ayer,yesterday
dar,give
nena,chick
servicio,service
tren,train
bonito,pretty
mes,month
tener,have
tener,have
edad,age
ellas,they
hermoso,beautiful
honor,honor
simplemente,simply
llamarllama,Calllama
tener,have
correr,run
bajobaja,Bajobaja
sol,sun
sentar,sit
dar,give
humano,human
divertidodivertir,DiscardEvotertir
sexo,sex
vueltovolver,Return back
peligropeligrar,DANGER PEATURE
mesa,table
siguiente,following
hablar,talk
disculpadisculpar,apology
decir,say
caja,box
negocionegociar,Negotiation
misión,mission
silencio,silence
salir,go out
llegar,arrive
estar,be
regresoregresar,RECOREGRESAR
mediamedio,media
estar,be
propio,own
oroorar,Gold
enseguida,right away
lindo,nice
prometer,pledge
esposoesposar,Husposar
norte,north
haber,to have
jurar,swear
muertomorir,dead
interesante,interesting
pensar,think
buscarbusca,Search for a lot
terminar,finish
tener,have
completamente,completely
citacitar,Citacitar
siete,seven
cumpleaños,birthday
abogado,lawyer
alrededor,around
cerebro,brain
porqué,because
llave,key
santo,holy
hermoso,beautiful
necesario,necessary
edificio,building
ir,go
aun,still
tener,have
ir,go
dar,give
traer,bring
salir,go out
ley,law
ahí,there
verdadero,TRUE
peleapelear,fighting
banco,bank
terrible,terrible
calmacalmar,Calmacalmar
cenacenar,cenacer
dar,give
gobierno,government
comprar,buy
creercrear,think create
sargento,sergeant
destino,destination
existir,exist
hacer,do
novio,boyfriend
sala,hall
través,through
regaloregalar,Regaloregalar
iglesia,church
decir,say
cualquiera,any
excelente,excellent
esperar,wait
deseodesear,wish
alma,soul
diablo,Devil
dejar,leave
cuántos,how many
espada,sword
estar,be
carne,meat
maravilloso,marvelous
vida,life
suceder,happen
oír,hear
peligroso,dangerous
dirección,address
libertad,freedom
Jesús,Jesus
ocurrir,occur
ver,see
sueño,dream
poder,can
detective,detective
sorpresa,surprise
tuyo,yours
pie,foot
club,club
terminar,finish
infierno,hell
creer,believe
luna,moon
salvar,save
carta,letter
estar,be
cielo,darling
teniente,lieutenant
encontrar,find
ver,see
querer,want
escuchar,hear
necesitar,need
ambosambo,Bothamo
decisión,decision
enemigo,enemy
hacer,do
dulce,sweet
pruebaprobar,Test
querer,want
abuelo,grandfather
totalmente,completely
mirar,look
ir,go
carrera,career
